"Level","Proficiency Bonus","Features","Rages","Rage Damage"
"1st","+2","<<rage>>, <<unarmored-defense>>","2","+2"
"2nd","+2","<<reckless-attack>>, <<danger-sense>>","2","+2"
"3rd","+2","<<primal-path>>","3","+2"
"4th","+2","<<ability-score-improvement>>","3","+2"
"5th","+3","<<extra-attack>>, <<fast-movement>>","3","+2"
"6th","+3","<<primal-path,Path Feature>>","4","+2"
"7th","+3","<<feral-instinct>>","4","+2"
"8th","+3","<<ability-score-improvement>>","4","+2"
"9th","+4","<<brutal-critical>> (1 die)","4","+3"
"10th","+4","<<primal-path,Path Feature>>","4","+3"
"11th","+4","<<relentless-rage>>","4","+3"
"12th","+4","<<ability-score-improvement>>","5","+3"
"13th","+5","<<brutal-critical>> (2 dice)","5","+3"
"14th","+5","<<primal-path,Path Feature>>","5","+3"
"15th","+5","<<persistent-rage>>","5","+3"
"16th","+5","<<ability-score-improvement>>","5","+4"
"17th","+6","<<brutal-critical>> (3 dice)","6","+4"
"18th","+6","<<indomitable-might>>","6","+4"
"19th","+6","<<ability-score-improvement>>","6","+4"
"20th","+6","<<primal-champion>>","Unlimited","+4"
